abacus|n.算盘
doom|n.厄运,毁灭,死亡,世末日v.注定,判决著名的3D动作游戏
doomed|命定的
doomsday|n.世界末日
door|n.门,通道,家,户
doorstep|n.门阶,入门之阶
doorway|n.门口
dope|n.粘稠物,浓液,涂料,涂布油,麻醉药物,笨蛋vt.上涂料,预测出vi.服麻醉品n.<美口>内幕,消息
dormant|adj.睡眠状态的,静止的,隐匿的
dormitory|n.宿舍
dosage|n.剂量,配药,用量
dose|n.剂量,(一)剂,(一)服v.(给...)服药
dossier|n.<法>档案,卷宗
dot|n.点,圆点,园点vt.在...上打点
dote|vi.昏聩,溺爱
doting|adj.沉溺于爱的,溺爱的
double|n.两倍,[计]双精度型adj.两倍的,双重的vt.使加倍vi.加倍,快步走,加倍努力
doubt|n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕
doubtful|adj.可疑的,不确的,疑心的
doubtless|adj.无疑的,确定的adv.无疑地,确定地,<口>大概、多半
dough|n.生面团,<美俚>钱,金钱
dove|n.鸽子vbl.dive的过去式
dowager|n.继承亡夫爵位(或遗产的)遗孀,贵妇
down|adj.向下的adv.向下,在下面,下去,降下prep.往下,沿着n.绒毛,软毛,开阔的高地
downcast|adj.气馁的,悲哀的,沮丧的,(眼睛)向下看的
downfall|n.衰败,垮台,大雨,落下
downgrade|n.下坡,退步adj.下坡的,使降级,小看
downhearted|adj.垂头丧气的,闷闷不乐的,无精打采的
downhill|adj.下坡的,倾斜的adv.往下,每况愈下
downpour|n.倾盆大雨
downright|adj.明白的,显明的,率直的adv.全然,完全,彻底
downstairs|adv.在楼下,往楼下,下楼
downstream|adv.下游地adj.下游的
downtime|n.(工厂等由于检修,待料等的)停工期
downtown|adv.在市区,往市区adj.市区的
downward|adj.向下的
dowry|n.嫁妆,天资
doze|vi.瞌睡,假寐vt.打瞌睡度过n.瞌睡
dozen|n.一打,十二个
drab|adj.土褐色的,单调的
draft|n.草稿,草案,草图vt.起草,为...打样,设计v.草拟
draftsman|n.起草人,立案者,绘图员
drafty|adj.通风良好的,有缝隙风吹入的
drag|v.拖,拖曳,缓慢而费力地行动n.拖拉
dragon|n.龙,凶暴的人,严厉而有警觉性的女人
dragonfly|n.蜻蜓
drain|n.排水沟,消耗,排水vt.排出沟外,喝干,耗尽vi.排水,流干
drainage|n.排水,排泄,排水装置,排水区域,排出物,消耗
drama|n.(在舞台上演的)戏剧,戏剧艺术
dramatic|adj.戏剧性的,生动的
dramatist|n.剧作家
dramatize|vt.改编成为戏剧,编写剧本vi.戏剧地表现
drape|n.窗帘
drapery|n.(供装饰用的)织物,帏帐,布料
drastic|adj.激烈的,(药性等)猛烈的
draught|n.拖,拉,一网(鱼),气流
draughtsman|n.国际象棋的棋子,起草人
draughty|adj.通风良好的,有隙缝风吹入的
draw|v.拉,曳,牵,画,绘制,拖曳vt.汲取,领取,提取,引起,吸引vi.向...移动,挨近n.平局,和局,拖曳
drawback|n.缺点,障碍,退还的关税,退税(指进口货物再出口时退还其进口时的关税)
drawer|n.抽屉,画家,制图员,(用复数)衬裤、内裤
drawing|n.图画,制图,素描术
drawl|v.懒洋洋地说,做作而慢慢地说n.懒洋洋的说话态度
dread|n.恐惧,恐怖,可怕的人(或物),畏惧v.惧怕,担心
dreadful|adj.可怕的,<口>讨厌的
dream|v.做梦,梦见,梦想,想到n.梦,梦想
dreary|adj.沉闷的
dredge|n.挖泥机,挖泥船,捞网v.挖掘,疏浚,捞取,撒在食物上
dregs|n.渣滓,糟粕
drench|v.湿透
dress|n.女服,童装,服装,衣服v.(给...)穿衣
dressing|n.穿衣,装饰,敷裹,敷料,调味品
dressy|adj.<俗>衣着考究的
dribble|v.滴下
drift|n.冲洗,漂流物,观望,漂流v.(使)漂流
drill|n.钻孔机,钻子,播种机,军事训练,操练,(反复)练习,条播机v.训练,钻孔,条播
drink|n.饮料,酒,酗酒,一口(或一些)饮料v.喝,喝酒,(植物、土壤等的)吸水,举杯庆贺
drip|n.水滴v.(使)滴下
dripping|n.滴,滴下,滴下物,油滴
drive|n.驾车,驱动器,快车道,推进力,驱使,动力,干劲,击球vt.开车,驱赶,推动、发动(机器等),驾驶(马车,汽车等)vi.开车,猛击,飞跑n.[计]驱动器
driver|n.驾驶员n.[计]驱动器,驱动程序n.[机]起子,主动轮,传动器
drizzle|n.细雨v.下毛毛雨
drone|n.雄蜂,嗡嗡的声音,懒惰者,靶标vi.嗡嗡作声,混日子vt.低沉地说出
drool|vi.流口水,说昏话vt.从嘴淌下,散漫地说n.口水,梦话
droop|v.低垂,凋萎,萎靡
drop|v.滴下,落下,(使声音等)变弱,(使价格等)下降,使跌倒,使结束,不再讨论,停止与(某人)交往n.落下,下降,滴,滴剂,点滴,微量,下跌
drought|n.干旱,缺乏
drown|v.溺死,淹死vt.淹没
drowse|n.困，瞌睡vi.打瞌睡vt.使瞌睡
drowsy|adj.昏昏欲睡的,催眠的,(街、市等)沉寂的
drug|n.药,麻药,麻醉药,滞销货vi.<俗>吸毒vt.使服毒品,毒化
druggist|n.药商,药剂师,药材商
drugstore|n.<美>药房,杂货店
drum|n.鼓,鼓声,鼓形圆桶,[解]鼓膜,鼓室vi.击鼓,作鼓声vt.打鼓奏
drummer|n.鼓手,<美>旅行推销员
drumstick|n.鼓槌,鼓槌形物体(如鸡腿等)
drunk|adj.喝醉了的vbl.drink的过去分词
drunkard|n.醉汉,酒鬼
drunken|adj.酒醉的
dry|adj.干的,干燥的,口渴的vt.(使)干燥,(使)变干v.干燥
dryer|n.干衣机,干燥剂
dryly|adv.干燥地,枯燥无味地,冷淡地
dual|adj.双的,二重的,双重
dub|vt.[电影]配音,轻点,授予称号,打击n.鼓声,笨蛋
dubious|adj.可疑的,不确定的
duchess|n.公爵夫人,女公爵
duchy|n.公爵领地,直辖领地,公国
duckling|n.小鸭子
duct|n.管,输送管,排泄管vt.通过管道输送
due|n.应得物、权力,[复]应付款adj.应得的,应付的,正当的,预期的,(车、船预定)应到的
duel|n.决斗v.决斗
duet|n.二重奏
duff|n.布丁的一种,揉好的面团,半腐烂的落叶堆,笨拙的人,顽固不讲理的人vt.<俚>虚饰(商品)以欺骗人
duke|n.公爵<俚>手,拳头
dull|adj.感觉或理解迟钝的,无趣的,呆滞的,阴暗的vt.使迟钝,使阴暗,缓和vi.变迟钝,减少
duly|adv.适时地
dumb|adj.哑的,无说话能力的,不说话的,无声音的
dumbfound|v.使人哑然失声,使发楞
dumfound|vt.使说不出话来
dummy|n.哑巴,傀儡,假人,假货adj.虚拟的,假的,虚构的n.[计]哑元
dump|vt.倾倒(垃圾),倾卸n.堆存处
dumpling|n.面团布丁,团子
dumpy|adj.矮胖的,粗短的n.矮脚鸡,矮沙发,短雨伞
dunce|n.劣学生,傻瓜
dune|n.(由风吹积而成的)沙丘
dung|n.(家畜的)粪vt.施粪肥于
dungeon|n.地牢
duo|n.<意>二重唱,艺人的一对
dupe|n.易受骗的人,易受愚弄的人vt.欺骗,愚弄n.vt.(=duplicate)
duplicate|adj.复制的,副的,两重的,两倍的,完全相同n.复制品,副本vt.复写,复制,使加倍,使成双
duplicity|n.奸诈,狡猾,搞两面派,口是心非,不诚实,表里不一
durable|adj.持久的,耐用的
duration|n.持续时间,为期
during|prep.在...的期间,在...的时候
dusk|n.薄暮,黄昏
dusky|adj.微暗的,朦胧的,忧郁的
dust|n.灰尘,尘土,尘埃vt.掸掉...上的灰尘,撒糖于糕上
dustbin|n.<英>垃圾箱(=<美>ashcan,garbagecan或garbagebox)
duster|n.掸子,打扫灰尘的人,防尘长外衣
dustman|n.清洁工
dustpan|n.畚箕,粪斗
dusty|adj.满是灰尘的,积满灰尘的,粉末状的,含糊的
Dutch|n.荷兰人,荷兰语adj.荷兰的,<俚>德国的,条顿民族的
dutiful|adj.忠实的,顺从的,守本分的,恭敬的,孝敬的
duty|n.义务,责任,职责,职务,税
dwarf|n.矮子,侏儒v.(使)变矮小
dwell|vi.居住,踌躇
dweller|n.居住者,居民
dwelling|n.住处
dwindle|v.缩小
dye|n.染料,染色vt.染v.染
dyke|n.vt.(=dike)沟,渠,堤坝,<美俚>(女子)搞同性关系n.<俚>(尤指男性化的)女子同性恋者
dynamic|adj.动力的,动力学的,动态的
dynamics|n.动力学
dynamism|n.物力论,力本说
dynamite|n.炸药,<俚>能产生不凡效果的人或物vt.炸毁,使失败
dynamo|n.发电机
dynasty|n.朝代,王朝
each|adj.各自的,每个的,每一pron.各,各自,每个adv.每个
eager|adj.热心于,渴望着
eagerness|n.热心
eagle|n.鹰,鹰状标饰
ear|n.耳朵,倾听,听觉,听力,穗vi.抽穗
earache|n.耳朵痛
eardrum|n.[解]中耳,鼓膜n.[解]耳膜
earl|n.<英>伯爵
early|adj.早的,早熟的,及早的,早先的,早期的adv.早,在初期
earmark|n.(牲畜耳朵上打着的)耳号v.打上耳号,加上记号,指定(款项等的)用途
earn|vt.赚,挣得,获得v.赚得,获得
earnest|adj.认真的,热心的,重要的n.真挚,定金,认真,热心
earnings|n.所得,收入
earphone|n.头戴受话器,耳机
earplug|n.耳塞
earring|n.耳环,耳饰
earth|n.地球,陆地,泥土,洞穴,地球上的人类,尘世,[电]接地vt.埋入土中,把...赶入洞内,把...接地vi.躲入洞内
earthen|adj.土制的,陶制的
earthenware|n.土器,陶器
earthly|adj.现世的,可能的,地球的,俗世的
earthquake|n.地震,[喻]在震荡,在变动
earthwork|n.[建]土方(工程),[军]土木工事
earthy|adj.土的,粗陋的,朴实的,现实的
ease|n.安逸,安心,不费力,悠闲vt.使悠闲,使安心,减轻,放松vi.减弱,减轻,放松,灵活地移动
easel|n.画架,黑板架
easily|adv.容易地,不费力地
east|n.东方,东,东部地区adj.东方的,从向东来的adv.在东方,向东方,朝东方
Easter|n.[宗](耶稣)复活节
eastern|adj.东方的,东部的
eastward|adv.向东adj.向东的,朝东的
easy|adj.容易的,安逸的,舒适的,宽裕的,小康的,从容的,宽容的,流畅的adv.不费力的,轻松,悠闲,慢慢地n.短暂的休息
easygoing|adj.逍遥自在的,悠闲的,懒散的,(马)行动时平稳自在的,(品德)放荡的,不严肃的
eat|v.吃,腐蚀
eaves|n.屋檐
eavesdrop|v.偷听n.屋檐水
ebb|n.退,弱,退潮,衰落vi.潮退,衰退
ebony|n.黑檀树,乌木,乌梅adj.乌木制的,黑檀的
eccentric|adj.古怪n.行为古怪的人
eccentricity|n.偏心,古怪,[数]离心率
echo|n.回声,回音,回波vi.发回声,随声附和vt.摹仿,重复,反射[计]禁止(或允许)在屏幕上显示批处理命令行
eclectic|adj.折衷的,折衷学派的n.折衷主义者,折衷派的人
eclipse|n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色
ecological|adj.生态学的,社会生态学的
ecologist|n.生态学者
ecology|n.生态学,[社会]环境适应学,均衡系统
economic|adj.经济(上)的,产供销的,经济学的
economical|adj.节约的,经济的
economics|n.经济学
economist|n.经济学者,经济家,[古]节俭的人,节约者
economize|v.节约,节省,有效地利用
economy|n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况
ecosystem|n.生态系统
ecstasy|n.入迷
ecstatic|n.狂喜的人adj.狂喜的,心醉神迷的,入迷的
eczema|n.湿疹
eddy|n.旋转,漩涡v.(使)起漩涡
edge|n.刀口,利刃,锋,优势,边缘,优势,尖锐vt.使锋利,挤进,镶边,开刃vi.缓缓移动,侧着移动
edgy|adj.刀口锐利的,急躁的,尖利的
edible|adj.可食用的
edict|n.布告,法令
edifice|n.大厦,大建筑物
edit|vt.编辑,校订,剪辑n.编辑工作
edition|n.版本,版
editor|n.编辑,编辑器,编者
editorial|n.社论adj.编辑上的,主笔的,社论的
educate|vt.教育,训练,培养v.教育
education|n.教育,训导,训练,培养,教育学
educational|adj.教育的,教育性的
educationist|n.教育家,教育理论家
educator|n.教育家
eerie|adj.怪诞的,可怕的,不安的,奇异的
efface|v.抹掉
effect|n.结果,效果,作用,影响,(在视听方面给人流下的)印象vt.招致,实现,达到(目的等)
effective|adj.有效的,被实施的,给人深刻印象,有生力量
effeminate|adj.柔弱的,女人气的,娇气的
efficacy|n.功效,效验
efficiency|n.效率,功效
efficient|adj.(直接)生效的,有效率的,能干的
effluent|adj.发出的,流出的n.流出物,排水道,污水,排水渠
effort|n.努力,成就
effusive|adj.感情横溢的,流出的
egalitarian|adj.平等主义的n.平等主义
egg|n.蛋,鸡蛋,卵v.怂恿,怂恿
eggplant|n.茄子
ego|n.自我,利已主义,自负
egocentric|adj.自我中心的,利己主义的n.利己主义者
egoism|n.自我主义,利己主义
egoist|n.自我主义者
egotism|n.自我中心,自尊自大
eight|adj.八的num.八,八个,第八n.八字形
eighteen|adj.十八的,十八个的
eighteenth|n.第十八,十八分之一num.第十八
eighth|num.第八
eightieth|n.第八十,八十分之一num.第八十
eighty|num.八十,八十个
either|adj.任一的,(两方中的)每一方的pron.任一,随便任一个conj.或者,也
ejaculate|vt.突然说出,(从生物体中)射出vi.射出,流质,射精n.一次射出的精液
eject|vt.逐出,撵出,驱逐,喷射n.推断的事物
elaborate|adj.精心制作的,详细阐述的,精细vt.精心制作,详细阐述v.详细描述
elapse|vi.(时间)过去,消逝v.流逝
elastic|adj.弹性的
elasticity|n.弹力,弹性
elated|adj.兴高采烈的,得意洋洋
elbow|n.肘
elder|n.年长者,老人,父辈adj.年长的,资格老的
elderly|adj.过了中年的,稍老的
eldest|adj.最年长的,年事最高的
elect|vt.选举,推选v.选择,作出选择,选举,选举,选举
election|n.选举,当选,选择权,[宗]上帝的选拔
elector|n.有选举权的人,选举人,竞选人
electorate|n.选民,选区,有选举权者
electric|adj.电的,导电的,电动的,电气
electrical|adj.电的,有关电的
electrician|n.电工,电学家
electricity|n.电流,电,电学
electrify|vt.使充电,使通电,使电气化v.电气化
electrocute|vt.<美>处电刑,触电致死
electrode|n.电极
electromagnet|n.电磁石
electron|n.电子
electronic|adj.电子的
electronics|n.电子学
electroplate|vt.电镀n.电镀物品
electroscope|n.验电器
electrostatic|adj.静电的,静电学的
elegance|n.高雅,典雅,优雅,雅致
elegant|adj.文雅的,端庄的,雅致的,<口>上品的,第一流的
element|n.要素,元素,成分,元件,自然环境
elemental|adj.(古希腊哲学)四大要素(土、水、气、火),自然力的
elementary|adj.初步的,基本的,[化]元素的,自然力的
elephant|n.象,一种纸张的尺寸
elevate|vt.举起,提拔,振奋,提升...的职位
elevation|n.上升,高地,正面图,海拔,提高,仰角,崇高,壮严
elevator|n.电梯,升降机,[空]升降舵
eleven|n.十一
eleventh|n.第十一
elf|n.小精灵,矮人,淘气鬼,恶作剧的人,恶人
elicit|vt.得出,引出,抽出,引起
eligible|adj.符合条件的,合格的
eliminate|vt.排除,消除v.除去
elimination|n.排除,除去,消除,消灭
elite|n.<法>[集合名词]精华,精锐,中坚分子
ellipse|n.[数]椭圆,椭圆形
elliptical|adj.椭圆的,省略的
elm|n.[植]榆树
elope|vi.私奔,潜逃,出走
eloquence|n.雄辩,口才,修辞
eloquent|adj.雄辩的,有口才的,动人的,意味深长的
else|adj.别的,其他的adv.另外,其他
elsewhere|adv.在别处
elucidate|vt.阐明,说明
elude|v.躲避
elusive|adj.难懂的,难捉摸的,易忘的
emaciated|adj.瘦弱的,衰弱的
emanate|vi.散发,发出,发源vt.[罕]发散,放射
emancipate|vt.释放,解放,[律]使(孩子.妻子)摆脱家长的管教而获得合法权利
embankment|n.堤防,筑堤
embargo|n.禁止出入港口,禁运vt.禁止(船只)出入港口,禁运
embark|v.上船,上飞机,着手,从事,装于船上,登上
embarrass|vt.使困窘,使局促不安,阻碍,麻烦
embarrassing|令人为难的
embarrassment|n.困窘,阻碍
embassy|n.大使及其随员,大使的派遣,大使馆
embattled|adj.被敌人围困的
embed|vt.使插入,使嵌入,深留,嵌入,[医]包埋
embellish|v.修饰
embezzle|vt.盗用,挪用
emblem|n.象征,徽章,符号,<古>寓意画vt.用象征表示
embody|vt.具体表达,使具体化,包含,收录
emboss|vt.饰以浮饰,使浮雕出来
embrace|vt.拥抱,互相拥抱,包含,收买,信奉vi.拥抱n.拥抱
embroider|vt.刺绣,镶边,装饰,给...添油加醋vi.绣花
embroidery|n.刺绣品,粉饰,刺绣,装饰
embroil|vt.使卷入,牵连,使纠缠
embryo|n.胚胎,胎儿,胚芽adj.胚胎的,初期的
emend|vt.修订,校勘
emerald|n.[矿]祖母绿,翡翠,绿宝石,翠绿色adj.翡翠的,翠绿色的
emerge|vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来
emergence|n.浮现,露出,(植物)突出体,出现
emergency|n.紧急情况,突然事件,非常时刻,紧急事件
emergent|adj.紧急的,浮现的,突然出现的,自然发生的
emigrant|n.移居外国者,移民
emigrate|vi.永久(使)移居vt.(使)移民
emigration|n.移民出境,侨居,[总称]移民
eminence|n.出众,显赫,崇高
eminent|adj.显赫的,杰出的,有名的,优良的
emir|n.埃米尔(穆斯林国家的酋长.贵族或王公)
emissary|n.使者
emission|n.(光、热等的)散发,发射,喷射
emit|vt.发出,放射,吐露,散发,发表,发行
emotion|n.情绪,情感,感情
emotional|adj.情绪的,情感的
emotive|adj.使感动的,感情的,动感情的
empathy|n.移情作用,[心]神入
emperor|n.皇帝,君主
emphasis|n.强调,重点
emphasize|vt.强调,着重v.强调
emphatic|adj.语势强的,用力的,显著的,断然的
empire|n.帝国,帝权
empirical|adj.完全根据经验的,经验主义的,[化]实验式
empiricism|n.经验主义,经验论,庸医的医术
employ|vt.雇用,用,使用v.使用n.雇用
employe|(=employee)n.雇工,从业员
employee|n.职工,雇员,店员
employer|n.雇主,老板
employment|n.雇用,使用,利用,工作,职业
empower|v.授权与,使能够
empress|n.皇后,女皇帝,皇太后,极有权力的女人
empty|adj.空的,空洞的,空虚的vt.使成为空的,倒空v.倒空adj.空的,空闲的v.腾空,腾出来
emulate|n.仿效
enable|vt.使能够,授予权利或方法
enact|vt.制定法律,颁布,扮演
enamel|n.珐琅,瓷釉,指甲油vt.涂以瓷釉,彩饰
encampment|n.露营,宿营,营地
encase|vt.装入,包住,围
enchant|vt.施魔法,使迷惑
encircle|vt.环绕,围绕,包围,绕...行一周
enclave|n.被包围的领土
enclose|vt.放入封套,装入,围绕
enclosure|n.围住,围栏,四周有篱笆或围墙的场地
encompass|v.包围,环绕,包含或包括某事物
encore|n.再演唱的要求,经要求而再唱int.再演唱一次!vt.要求再演或唱
encounter|v.遭遇,遇到,相遇n.遭遇,遭遇战
encourage|vt.鼓励,怂恿v.鼓励,鼓励
encouragement|n.鼓励,奖励
encroach|vi.(逐步或暗中)侵占,蚕食,超出通常(或正常)界线
encumber|v.阻碍
encyclopaedia|n.百科全书
encyclopedia|n.百科全书
end|n.末端,尽头,结束,目标,限度,梢,末端,死亡v.结束,终结,终止
endanger|vt.危及
endeavor|n.努力,尽力vi.尽力,努力
endeavour|n.<英>尽力,竭力
endemic|n.地方病adj.风土的,地方的
ending|n.结尾,结局
endless|adj.无止境的,无穷的
endorse|v.在(票据)背面签名,签注(文件),认可,签署
endow|v.捐赠,赋予
endurable|adj.可忍受的,能忍耐的
endurance|n.忍耐(力),持久(力),耐久(性)
endure|v.耐久,忍耐
endways|adv.末端向前地竖着,向着两端,在末端
enemy|n.敌人,仇敌,[集合名词]敌军,[喻]大敌adj.敌人的,敌方的
energetic|adj.精力充沛的,积极的
energize|vt.使活跃,给予精力,加强,给与...电压vi.用力,活动
energy|n.精力,精神,活力,[物]能量
enfeeble|vt.使衰弱
enforce|vt.强迫,执行,坚持,加强
engage|vt.使忙碌,雇佣,预定,使从事于,使参加vi.答应,从事,交战,[机]接合,啮合
engaged|adj.忙碌的,使用中的
engagement|n.约会,婚约,诺言,交战,接站,雇拥,[机]接合
engender|v.造成
engine|n.发动机,机车,火车头
engineer|n.工程师,技师,火车司机,轮机员,工兵
engineering|n.工程(学)
English|adj.英文的,英国人的,英格兰的n.英国人,英语
Englishman|n.英吉利人,英国人
Englishwoman|n.英国女人,英格兰妇女
engrave|v.雕刻,(线条,文字,图案)于一硬面上,深印于(心上),使铭记,铭刻
engross|vt.用大字体书写,吸引,占用,使全神贯注,独占
engulf|vt.卷入,吞没,狼吞虎咽
enhance|vt.提高,增强v.提高
enigma|n.谜,不可思议的东西
enigmatic|adj.谜一般的,高深莫测的
enjoy|vt.享受...的乐趣,欣赏,喜爱v.满意
enjoyable|adj.令人愉快的,可享受的
enjoyment|n.享乐,快乐,享受乐事
enlarge|v.扩大,放大
enlargement|n.放大
enlighten|vt.启发,启蒙,教导,授予...知识,开导,<古>照耀
enlist|v.征募,谋取(支持、赞助等),应募,赞助,支持,征召,参军
enliven|vt.使生气的,使活泼,使生动
enmity|n.敌意,憎恨
ennoble|vt.封...为贵族,使高贵
enormity|n.暴行,巨大,极恶
enormous|adj.巨大的,庞大的,<古>极恶的,凶暴的
enough|adj.足够的,充足的,只够做...的n.充足,足够,很多adv.足够地,充分地int.够了!
enquire|v.询问
enquiry|n.询问
enrage|vt.激怒
enrich|vt.使富足,使肥沃,装饰,加料于,浓缩
enrol|vt.登记,入学vi.参军,注册
ensconce|vt.隐藏,安置
ensemble|n.<法>全体,[音]合唱曲,全体演出者
enshrine|vt.入庙祀奉,铭记
ensign|n.旗,军舰旗,军旗,徽章,<美>海军少尉
enslave|v.奴役,沉溺,束缚
ensue|vi.跟着发生,继起vt.(基督教《圣经》用语)追求
ensure|vt.保证,担保,使安全,保证得到v.确保,确保,保证
entail|vt.使必需,使蒙受,使承担,遗传给n.[建]限定继承权
entangle|vt.使缠上,纠缠,卷入,连累,使混乱
enter|vt.进入,加入,参加,登录,开始vi.进去,[戏]登场,参加n.输入,[计]回车
enterprise|n.企业,事业,计划,事业心,进取心,干事业
entertain|vt.娱乐,招待,接受,怀抱vi.款待
entertainer|n.款待者,表演娱乐节目的人,演艺人员
entertaining|adj.愉快的,有趣的n.招待,款待
entertainment|n.款待,娱乐,娱乐表演
enthral|v.迷惑,迷醉,奴役
enthrall|vt.迷惑,迷住,奴役
enthrone|vt.立...为王,使登基,任为主教,崇拜vi.热心
enthusiasm|n.狂热,热心,积极性,激发热情的事物
enthusiast|n.热心家,狂热者
enthusiastic|adj.热心的,热情的
entice|v.诱惑,诱使
entire|adj.全部的,完整的,整个
entirety|n.全部,完全
entitle|vt.给...权利(或资格),给...题名,给...称号v.授权,授权
entity|n.实体
entourage|n.周围,环境,随从
entrance|n.入口,门口,进入
entrant|n.进入者,新到者,新工作者,新会员,大学新生,参加竞赛者
entreat|v.恳求,乞求,<古>对待,对付
entree|n.入场许可,<英>两道正菜间的小菜,<美>主菜
entrepot|n.<法>仓库,贸易中心
entrepreneur|n.<法>企业家,主办人
entrust|v.委托
entry|n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入
entwine|v.(使)缠住,(使)盘绕
enumerate|v.列举
envelop|vt.包封,遮盖,包围n.包裹,封,包围,信封
envelope|n.信封,封套,封袋,[天]包层,[数]包迹,[生]包膜
enviable|adj.令人羡慕的,可羡慕的
envious|adj.嫉妒的,羡慕的
environment|n.环境,外界
environmental|adj.周围的,环境的n.环境论
environmentalism|n.环境保护论,环境论
environmentalist|n.环境保护论者,环境论者,环境论信奉者
envisage|v.正视
envision|vt.想象,预想
envoy|n.外交使节,特使
envy|n.vt.羡慕,嫉妒
enzyme|n.[生化]酶
eon|n.永世,无数的年代
ephemeral|adj.朝生暮死的,短暂的,短命的
epic|n.史诗,伟大事迹adj.英雄的,壮丽的,大规模的
epidemic|adj.流行的,传染的,流行性n.时疫,疫疾流行,(风尚等的)流行,流行病
epigram|n.警句,讽刺短诗
epilogue|n.结语,尾声,[戏]收场白
episode|n.一段情节,[音]插曲,插话,有趣的事件
epitaph|n.墓志铭,碑文
epitome|n.摘要
epitomize|vt.摘要,概括,成为...缩影
epoch|n.新纪元,时代,时期,时间上的一点,[地质]世
epochmaking|adj.划时代的,极重要的
equable|adj.变动小的,平静的
equal|adj.相等的,均等的,胜任的,平静的,合适的,不相上下的n.相等的事物(或数量),对手,匹敌,同辈vt.等于,比得上
equality|n.等同性,同等,平等,相等,等式
equally|adv.相等地,平等地,公平地
equate|vt.使相等,[数]视为平等vi.等同
equation|n.相等,平衡,综合体,因素,方程式,等式
equator|n.赤道,赤道似的圈.圆
equiangular|adj.等角的
equidistant|adj.距离相等的,等距的
equilateral|adj.等边的n.等边形
equilibrium|n.平衡,平静,均衡,保持平衡的能力,沉着,安静
equinox|n.昼夜平分点,春分或秋分
equip|vt.装备,配备,训练,准备行装
equipment|n.装备,设备,器材,装置,铁道车辆,(一企业除房地产以外的)固定资产,才能
equitable|adj.公平的,公正的,平衡法的
equity|n.公平,公正,公平的事物,资产净值,[律]平衡法
equivalence|n.同等,[化]等价,等值
equivalent|adj.相等的,相当的,同意义的n.等价物,相等物
equivocal|adj.意义不明确的,模棱两可的,可疑的
era|n.时代,纪元,时期,[地]代
eradicate|v.根除
erase|vt.抹去,擦掉,消磁,<俚>杀死
eraser|n.擦除器,尤指墨水消除剂,橡皮
erasure|n.擦除,抹掉,擦除(或删去)的字.记号等
erect|adj.直立的,竖立的,笔直的vt.盖,使竖立,使直立,树立,建立vi.[生理]勃起
erection|n.直立,竖起,建筑物,[生理]勃起
erode|vt.侵蚀,腐蚀,使变化vi.受腐蚀,逐渐消蚀掉
erosion|n.腐蚀,侵蚀
erotic|adj.性爱的,性欲的,色情的n.好色之徒
err|vi.犯错,做错,犯罪,[废]走上歧途
errand|n.差事,差使,使命
errant|adj.周游的,不定的,错误的
erratic|adj.无确定路线,不稳定的,奇怪的n.古怪的人,漂泊无定的人
erroneous|adj.错误的,不正确的
error|n.错误,过失,误差
erudite|adj.博学的
erupt|vt.喷出vi.爆发
eruption|n.爆发,火山灰,[医]出疹
escalate|vi.逐步升高,逐步增强vt.使逐步上升
escalator|n.<美>电动扶梯,自动扶梯
escape|n.逃,逃亡,溢出设备,出口,逃跑,[植]野生vi.逃脱,避开,溜走vt.逃避,避免,被忘掉
escapee|n.逃亡者,逃避者
eschew|vt.避开,远避
escort|n.护卫(队),护送,陪同(人员),护卫队v.护卫,护送,陪同
Eskimo|n.爱斯基摩人adj.爱斯基摩人的
esoteric|adj.深奥
especial|adj.特别的,特殊的
especially|adv.特别,尤其
Esperanto|n.世界语
espionage|n.间谍,侦探
essay|vt.企图,尝试n.企图,散文,小品文,随笔,短文,评论
essayist|n.小品作者,随笔作家,评论家
essence|n.基本,[哲]本质,香精
essential|adj.本质的,实质的,基本的,提炼的,精华的n.本质,实质,要素,要点
establish|vt.建立,设立,安置,使定居,使人民接受,确定v.建立
establishment|n.确立,制定,设施,公司,军事组织
estancia|n.(拉丁美洲的)大牧场大庄园
estate|n.状态,不动产,时期,阶层,财产
esteem|vt.把...看作,尊敬,尊重,认为n.尊敬,尊重
estimable|adj.可尊敬的,可估计的,<古>可贵的,有价值的
estimate|v.估计,估价,评估n.估计,估价,评估
estimation|n.估计,预算,评价,判断,尊重
estrange|v.疏远
estuary|n.河口,江口
etc|adv.<拉>及其他,等等
etcetera|n.附加的人,附加物,以及其它,等等
etceteras|n.其余,等等之物(人们)
etch|v.蚀刻
eternal|adj.永恒的,永远的,不灭的,没完没了的
ether|n.天空醚,大气,苍天,[物]以太
ethereal|adj.轻的,天上的,象空气的
ethic|n.道德规范,伦理
ethical|adj.与伦理有关,民族的,民族特有的
ethics|n.偶尔,道德规范
ethnic|adj.人种的,种族的,异教徒的
ethos|n.气质,道义,民族精神,社会思潮,风气
etiquette|n.礼节
eulogy|n.赞词,颂词,歌功颂德的话
euphemism|n.[语法]委婉的说法
euphemistic|adj.委婉的
euphoria|n.精神欢快.欣快,兴高采烈,[心]欣快症
Europe|n.欧洲
European|adj.欧洲的,欧洲人的n.欧洲人
